,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
42,Malik Beasley,SG,SG,23.0,DEN,41.0,746.0,10.5,0.511,0.535,0.126,1.3,10.1,5.7,9.1,2.1,0.7,10.2,20.6,0.0,-0.2,0.7,0.6,0.037,-2.2,-0.6,-2.8,-0.2
43,Malik Beasley,SG,SG,23.0,MIN,14.0,463.0,16.2,0.591,0.494,0.12,2.0,14.7,8.1,9.8,0.9,0.4,7.9,23.7,0.0,0.6,0.2,0.8,0.079,1.8,-2.4,-0.6,0.2
44,Marco Belinelli,SG,SG,33.0,SAS,52.0,779.0,10.2,0.521,0.572,0.151,0.6,11.9,6.2,11.3,0.6,0.1,5.2,17.0,0.0,0.4,0.1,0.6,0.035,-1.0,-1.9,-2.9,-0.2
45,Jordan Bell,C-PF,C,25.0,TOT,29.0,256.0,13.9,0.577,0.179,0.463,12.0,21.8,16.7,8.9,0.5,3.2,20.7,16.4,0.0,0.2,0.2,0.4,0.07,-1.4,-1.1,-2.5,0.0
46,Jordan Bell,C,C,25.0,MIN,27.0,235.0,14.1,0.57,0.15,0.483,12.1,23.3,17.5,8.6,0.4,3.5,19.8,15.9,0.0,0.2,0.2,0.4,0.072,-1.5,-1.1,-2.5,0.0
47,Jordan Bell,PF,PF,25.0,MEM,2.0,21.0,12.6,0.635,0.429,0.286,10.2,4.9,7.5,12.8,2.2,0.0,27.6,21.5,0.0,0.0,0.0,0.0,0.046,-0.4,-1.1,-1.5,0.0
48,DeAndre' Bembry,SG,SG,25.0,ATL,43.0,915.0,9.6,0.5,0.285,0.211,4.0,14.1,8.9,12.3,2.8,1.7,19.4,14.0,0.0,-0.5,0.7,0.2,0.011,-3.5,1.0,-2.4,-0.1
49,Dragan Bender,SF,SF,22.0,TOT,16.0,286.0,11.0,0.545,0.467,0.152,5.9,21.1,13.5,14.4,0.7,2.8,17.6,17.7,0.0,0.0,0.3,0.3,0.053,-3.0,0.1,-2.9,-0.1
50,Dragan Bender,SF,SF,22.0,MIL,7.0,91.0,8.5,0.582,0.429,0.143,0.0,20.5,10.9,12.5,0.0,4.8,18.3,12.4,0.0,0.0,0.2,0.2,0.11,-4.3,3.0,-1.3,0.0
51,Dragan Bender,SF,SF,22.0,GSW,9.0,195.0,12.1,0.534,0.479,0.155,8.6,21.3,14.7,15.2,1.0,1.8,17.4,20.1,0.0,0.0,0.1,0.1,0.027,-2.4,-1.3,-3.6,-0.1
52,Davis Bertans,PF,PF,27.0,WAS,54.0,1583.0,15.5,0.628,0.774,0.2,2.3,15.1,8.5,8.3,1.1,1.8,8.2,19.0,0.0,3.0,0.5,3.5,0.106,2.7,-1.8,0.9,1.1
54,Patrick Beverley,PG,PG,31.0,LAC,48.0,1299.0,12.3,0.554,0.609,0.126,4.6,15.7,10.3,18.2,1.9,1.7,15.7,13.0,0.0,1.4,2.0,3.4,0.126,-0.5,2.6,2.1,1.3
55,Khem Birch,C,C,27.0,ORL,40.0,777.0,10.1,0.529,0.009,0.583,9.3,15.7,12.4,6.1,1.0,2.4,13.7,9.3,0.0,0.7,0.8,1.5,0.092,-3.3,0.3,-3.0,-0.2
56,Goga Bitadze,C,C,20.0,IND,49.0,410.0,12.2,0.53,0.279,0.256,6.0,19.8,12.9,7.1,0.7,6.9,14.8,18.1,0.0,-0.1,0.7,0.6,0.069,-4.0,1.5,-2.5,0.0
57,Bismack Biyombo,C,C,27.0,CHO,53.0,1029.0,16.1,0.57,0.0,0.543,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,0.0,1.5,0.9,2.4,0.113,-1.8,-0.7,-2.5,-0.1
58,Nemanja Bjelica,PF,PF,31.0,SAC,64.0,1821.0,15.6,0.597,0.488,0.121,6.5,19.4,12.8,14.6,1.4,1.7,12.6,17.4,0.0,3.0,1.7,4.7,0.125,1.2,0.4,1.6,1.7
